Fecha,Clics,Impresiones,CTR,Posición
2026-04-30,3,31,9.68%,6
2026-05-01,0,26,0%,5.4
2026-05-02,1,14,7.14%,5.6
2026-05-03,0,5,0%,5.8
2026-05-04,0,23,0%,6.2
2026-05-05,1,14,7.14%,7.1
2026-05-06,2,22,9.09%,8
2026-05-07,0,11,0%,4.9
2026-05-08,1,23,4.35%,5.2
2026-05-09,0,3,0%,5.3
2026-05-10,0,5,0%,5.6
2026-05-11,2,27,7.41%,3.1
2026-05-12,0,12,0%,4
2026-05-13,0,18,0%,2.2
2026-05-14,0,8,0%,3.6
2026-05-15,0,11,0%,5.4
2026-05-16,1,7,14.29%,5.1
2026-05-17,0,7,0%,6.7
2026-05-18,1,14,7.14%,3.9
2026-05-19,2,12,16.67%,5.5
2026-05-20,0,7,0%,4.4
2026-05-21,0,36,0%,2.5
2026-05-22,1,25,4%,4.2
2026-05-23,0,23,0%,5.1
2026-05-24,0,24,0%,5.6
2026-05-25,0,22,0%,6.5
2026-05-26,3,44,6.82%,5.4
2026-05-27,0,32,0%,5.6
2026-05-28,3,48,6.25%,6.6
2026-05-29,3,46,6.52%,8.3
2026-05-30,2,29,6.9%,4.8
2026-05-31,1,29,3.45%,6.3
2026-06-01,2,59,3.39%,8.3
2026-06-02,2,59,3.39%,6
2026-06-03,3,49,6.12%,5.1
2026-06-04,2,23,8.7%,4.8
2026-06-05,0,36,0%,4.3
2026-06-06,1,45,2.22%,5.3
2026-06-07,1,58,1.72%,5.5
2026-06-08,3,56,5.36%,6.4
2026-06-09,1,61,1.64%,6.1
2026-06-10,1,55,1.82%,6.4
2026-06-11,2,57,3.51%,7.2
2026-06-12,1,66,1.52%,6
2026-06-13,2,73,2.74%,5.9
2026-06-14,2,62,3.23%,7.3
2026-06-15,2,119,1.68%,6.7
2026-06-16,5,103,4.85%,5
2026-06-17,6,73,8.22%,4.8
2026-06-18,2,84,2.38%,6.3
2026-06-19,2,71,2.82%,5.1
2026-06-20,4,70,5.71%,6.4
2026-06-21,0,72,0%,6.2
2026-06-22,2,46,4.35%,6.1
2026-06-23,2,61,3.28%,6.3
2026-06-24,1,56,1.79%,4.9
2026-06-25,2,75,2.67%,5.4
2026-06-26,2,57,3.51%,6.1
2026-06-27,0,47,0%,8
2026-06-28,1,71,1.41%,5.1
2026-06-29,1,65,1.54%,5.6
2026-06-30,0,84,0%,5.5
2026-07-01,2,68,2.94%,6.2
2026-07-02,0,76,0%,6
2026-07-03,0,80,0%,5.7
2026-07-04,3,105,2.86%,5.8
2026-07-05,11,154,7.14%,5
2026-07-06,12,138,8.7%,4.5
2026-07-07,13,202,6.44%,5.3
2026-07-08,7,208,3.37%,5.4
2026-07-09,12,249,4.82%,6.1
2026-07-10,11,252,4.37%,6
2026-07-11,7,188,3.72%,6.1
2026-07-12,11,222,4.95%,5.3
2026-07-13,9,250,3.6%,6.3
2026-07-14,16,316,5.06%,6
2026-07-15,6,234,2.56%,5.8
2026-07-16,7,247,2.83%,5
2026-07-17,15,234,6.41%,5.4
2026-07-18,13,239,5.44%,5.3
2026-07-19,7,147,4.76%,5.9
2026-07-20,10,303,3.3%,5.2
2026-07-21,6,266,2.26%,6.5
2026-07-22,17,298,5.7%,6
2026-07-23,11,268,4.1%,5.6
2026-07-24,14,221,6.33%,6.2
2026-07-25,8,184,4.35%,6.1
2026-07-26,4,186,2.15%,6.6
2026-07-27,7,283,2.47%,6.5
2026-07-28,5,270,1.85%,6.2
2026-07-29,10,282,3.55%,6.3
