País,Clics,Impresiones,CTR,Posición
El Salvador,300,6558,4.57%,5.39
México,7,327,2.14%,7.11
Colombia,7,199,3.52%,7.87
Perú,4,201,1.99%,7.5
Chile,4,149,2.68%,7.05
Guatemala,4,146,2.74%,6.37
Estados Unidos,3,624,0.48%,6.9
Honduras,2,62,3.23%,6.05
España,1,55,1.82%,8.62
Venezuela,1,41,2.44%,5.95
Nicaragua,1,26,3.85%,6.46
República Dominicana,1,15,6.67%,5.47
Alemania,1,3,33.33%,7
Ecuador,0,67,0%,6.09
Bolivia,0,43,0%,6.37
Costa Rica,0,39,0%,7.67
Paraguay,0,32,0%,6.09
Panamá,0,25,0%,6.8
Canadá,0,15,0%,6.8
Argentina,0,15,0%,7.87
Brasil,0,12,0%,6.42
Puerto Rico,0,10,0%,6.3
Italia,0,8,0%,6.38
La India,0,7,0%,17.71
Cuba,0,6,0%,4.83
Belice,0,5,0%,4.2
Vietnam,0,5,0%,15.2
Costa de Marfil,0,4,0%,1
Francia,0,4,0%,6.25
Uruguay,0,4,0%,7.25
Emiratos Árabes Unidos,0,2,0%,8
Malasia,0,2,0%,8.5
Indonesia,0,2,0%,22.5
Rusia,0,2,0%,26
Singapur,0,2,0%,27.5
Reino Unido,0,1,0%,1
Palestina,0,1,0%,2
Haití,0,1,0%,3
Irán,0,1,0%,3
Omán,0,1,0%,3
Países Bajos,0,1,0%,4
Arabia Saudí,0,1,0%,4
Argelia,0,1,0%,5
Egipto,0,1,0%,5
Grecia,0,1,0%,5
Croacia,0,1,0%,6
Turquía,0,1,0%,6
China,0,1,0%,7
Myanmar (Birmania),0,1,0%,7
Suecia,0,1,0%,7
Bielorrusia,0,1,0%,9
Finlandia,0,1,0%,9
Marruecos,0,1,0%,9
Portugal,0,1,0%,9
Hong Kong,0,1,0%,10
Irlanda,0,1,0%,10
Israel,0,1,0%,10
Filipinas,0,1,0%,23
Ucrania,0,1,0%,53
